Connect database
Seeded default roles: owner, manager, cashier, waiter, chef
[GIN] 2026/05/05 - 19:01:00 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:01:00 | 200 |      1.0161ms |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:01:00 | 200 |      1.8516ms |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:01:00 | 200 |       505.2µs |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:01:00 | 200 |       513.3µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:01:07 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:01:07 | 201 |      2.6925ms |    192.168.1.42 | POST     "/api/v1/categories"
[GIN] 2026/05/05 - 19:01:10 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:01:10 | 201 |      3.4758ms |    192.168.1.42 | POST     "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:04:03 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:04:03 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:04:03 | 200 |       504.4µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 19:04:03 | 200 |      1.5302ms |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:04:53 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:04:53 | 404 |       517.8µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:04:53 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:04:53 | 404 |       523.2µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:04:53 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:05:46 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:05:46 | 404 |       506.7µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:05:46 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 19:05:46 | 404 |       504.1µs |    192.168.1.42 | GET      "/api/v1/users/profile"
